name,num,star,sug1,sug2,sug3
上海总会SHANGHAICLUB(兴业太古汇店),90488288,准五星商户,北京地道烤鸭,核桃酱鸭方,酒香蒸鲥鱼配面盏
凯悦酒店·享悦中餐厅,123533480,五星商户,特色老北京果木烤鸭,上海熏鱼,黑椒蒜香安格斯牛肉粒
缘明土菜馆,58344091,五星商户,蒜香河鳗,白斩鸡,清蒸白鱼
晶苑餐厅(爱琴海购物公园店),97190831,准五星商户,晶苑烤鸭,文火焖雪花牛肉,黑松露布袋野生菌
老吉士酒家(天平路店),500702,准五星商户,吉士红烧肉,吉士咸鸡,心太软
锦绣江宴,51606300,五星商户,老上海熏鱼,石锅老豆腐,豌豆小面
新白鹿餐厅(张杨路店),17145949,准五星商户,蛋黄鸡翅,糖醋排骨,话梅花生
爷.上海喫客(大宁店),129677264,准五星商户,樱桃鹅肝,黄鱼春卷,酥皮土豆色拉
清水兰轩,3585112,五星商户,鱼翅捞饭,果木烤鸭,捞拌凤爪
金时代顺风港湾(爱琴海购物公园店),97304855,准五星商户,顺风乳鸽,红烧肉,响油鳝糊
隐石佳创意菜,113189865,准五星商户,浓汤炒米,秘制牛肉,江南盆栽
老爸厨房(七宝万科广场店),108286843,准五星商户,老爸自制养生黑豆腐,黑椒牛肉粒炒年糕,老爸自制色拉
九厢(虹桥店),92762595,五星商户,鹅肝,古法醉蟹,火山岩和牛
宝丽嘉酒店·嘉府壹号中餐厅,93326797,五星商户,北京果木烤鸭,温泉鹌鹑蛋红烧肉,鱼肚汤
逸谷会餐厅(静安嘉里中心店),8008401,准五星商户,招牌鱼头汤,芝士虾肉煎藕饼,姆妈糖醋肉排
绿杨邨酒家,93779684,准五星商户,金牌蔬菜包,蟹粉狮子头,扬州大煮干丝
润苑大酒楼,19409062,五星商户,本帮熏鱼,脆皮乳鸽,响油鳝丝
转角·尚品八涧(长寿路店),129866141,准五星商户,招牌肺头汤,本帮红烧两头乌,迷你黑松露生煎包
南京大牌档(百联又一城店),19277277,准五星商户,民国美龄粥,天王烤鸭包,招牌盐水鸭
南京大牌档(虹口龙之梦店),77562457,准五星商户,招牌盐水鸭,天王烤鸭包,民国美龄粥
蛇王王(五角场店),76897654,准五星商户,椒盐大王蛇,椒盐牛蛙,猪油拌饭
御沪沪味园(松花江路店),102431900,五星商户,越式牛仔粒,石锅芋艿,水晶鸡
新吉士酒家(置汇旭辉店),129809706,准五星商户,吉士红烧肉,响油鳝丝,葱烤鸦片鱼头
宏亮酒家(万源店),96284646,五星商户,酥不腻烤鸭,陈年花雕罐焖鸡,黄鱼烩群鲜
凯悦酒店·享悦中餐厅(环球港店),92747027,准五星商户,宫保明虾球,龙虾泡饭,石锅招牌银鳕鱼
餥餐厅(非常食材),21752365,准五星商户,阳春面,上海本帮熏鱼,野生山菌黑豆腐
晶采轩(虹桥路店),506665,五星商户,香醇鹅肝,清蒸东星斑,清炒河虾仁
圆苑(兴国路店),500782,准五星商户,特色红烧肉,糯米红枣,金牌煮干丝
丰和日丽(张江汇智店),130997703,准五星商户,老娘一手好牌,葱油膏蟹,大汤雪菜黄鱼馄饨
金时代顺风港湾(天钥桥路店),13784206,准五星商户,爆酱榴莲包,顺风乳鸽,本帮熏鱼
绿氧名厨(保利时光里店),96563515,准五星商户,绿氧福袋,野生虾酱拌面,鲜虾芒果脆筒（个）
北士大酒店中餐厅,2575588,准五星商户,清蒸小龙虾,红烧鳊鱼,臭豆腐
金时代顺风大酒店(宁国路店),21129800,准五星商户,脆皮乳鸽,顺风虾饺皇,老上海熏鱼
乡村大院,93433701,准五星商户,梅干菜饼,北京烤鸭,客家豆腐
暗恋桃花源(大宁国际店),125911799,准五星商户,飘香豆腐鱼,金屋藏娇,新镇店桃源红烧肉
金时代顺风大酒店(西郊百联店),98344749,准五星商户,脆皮乳鸽,顺风炝腰花,本帮熏鱼
HaoNoodle(世纪汇广场店),124150498,准五星商户,火锅牛肉面,招牌鸡汁锅贴,招牌乳鸽
虹桥壹号,8629576,五星商户,石锅海參,香煎带鱼,澳洲小牛肉
米桃 · 十里春风(维璟广场店),91608720,准五星商户,燃烧吧蜂窝煤,姑苏松鼠鲈鱼,销魂猪油菜饭
乐忻皇朝(陆家嘴中心店),122707343,准五星商户,特色皇朝小笼包（八色）,瑶柱芙蓉赛螃蟹,招牌原味小笼包
咏心·上海点心(静安大悦城店),114552081,准五星商户,现拆蟹粉小笼,招牌清汤鲜肉小笼,桂花山药酪
新白鹿餐厅(爱琴海购物公园店),97894035,准五星商户,蛋黄鸡翅,糖醋排骨,冰淇淋烤布雷
圆苑(静安寺店),2697124,准五星商户,圆苑红烧肉,糯米红枣,金牌煮干丝
锦园上海菜(人民广场店),92748644,准五星商户,泉水黄花鱼,古法油爆虾,葱油鸡
肥猫餐厅(南翔店),96325776,准五星商户,连骨头都不剩的鸡爪,招牌酱鸭,外婆红烧肉
甬府(龙柏店),93203474,五星商户,小龙虾,宁波汤圆,堂灼野生大黄鱼
牧羊餐厅,2041669,准五星商户,椒盐排条,茶树菇炒牛柳,松子鲈鱼
196行菜,67499671,准五星商户,腰蛤炝猪肝,响油鳝丝,干锅芋艿
