name,num,star,sug1,sug2,sug3,tuangou
乾杯烧肉居酒屋(新天地本店),67916727,准五星商户,盐葱牛舌,去骨牛小排,厚切牛舌,
串魂居酒屋(打浦桥店),107980065,五星商户,烤牛舌,五花肉,鸡心,
松涛日本料理,4101041,五星商户,江户前握寿司九贯,生鱼片,虎河豚刺身,
吾山纳雅寿喜烧·深夜食堂,130608282,准五星商户,雪花牛肉,朝一鸡蛋,安格斯牛上脑,
九州场(浦东店),129863578,准五星商户,刺身三拼,特色炸鸡块,芥末章鱼,
小句号日本料理(仲盛世界店),130766125,准五星商户,鹅肝寿司,超好吃的双拼鳗鱼饭,麒麟蛋糕,
烧肉万两,126624231,准五星商户,牛小排,黄油牛肉山,三筋肉,
鳗樽·活鳗料理居酒屋(汇智国际商业中心店),97216917,五星商户,蒲烧鳗鱼饭,厚烤牛舌,蒲烧鳗鱼,
HUNT S·夯食(置汇旭辉广场店),111750922,准五星商户,低温牛肉,蟹肉温泉蛋色拉,肥牛乌冬锅,
HUNT'S · 夯食(凯德晶萃广场店),112284227,准五星商户,低温牛肉,蟹肉温泉蛋色拉,主厨心鳗卷,
朗月日本料理,129879386,五星商户,豪华刺身拼盘,鳌虾,海胆,
米亭味自慢料理(丁香国际店),73418365,五星商户,刺身拼盘,炸三文鱼排,串烤酱味牛舌,
大馥·炭火烧肉屋(栗时代店),131420003,准五星商户,牛舌,起司地瓜,牛小排,
回乐町烧肉酒场,124759426,五星商户,回乐町牛气冲天plus,厚切牛舌,刺身五拼,
平成屋(新虹桥商厦店),15129125,五星商户,炸鸡块,芥末章鱼,牛舌,
富罟河豚料理(正大广场店),76742555,准五星商户,河豚蝉翼生鱼片,酥炸河豚鱼块,火锅泡饭,
德兵衛精致料理,67095694,准五星商户,炙烤鹅肝寿司,温泉蛋牛肉饭,香煎厚切牛舌,
烧肉喵政宗(淮海中路店),69238788,准五星商户,精品牛小排,厚切牛舌,上等横隔膜,
锦水亭日本料理•居酒屋(淮海中路店),129287565,准五星商户,寿喜锅,烤鳗鱼,三文鱼牛油果沙拉,
